,id,synopsis,rating,genre,director,writer,theater_date,dvd_date,runtime_in_minutes,main_genre,supporting_genre
777,1004,"Based on the Pulitzer Prize-winning novel by Alice Walker, The Color Purple spans the years 1909 to 1949, relating the life of Celie (Whoopi Goldberg), a Southern black woman virtually sold into a life of servitude to her brutal husband, sharecropper Albert (Danny Glover). Celie pours out her innermost thoughts in letter form to her sister Nettie (Akousa Busia), but Albert has been hiding the letters Nettie writes back, allowing Celie to assume that Nettie is dead. Finally, Celie finds a champion in the don't-take-no-guff Sofia (Oprah Winfrey), the wife of Glover's son from a previous marriage. Alas, Sofia is ""humbled"" when she is beaten into submission by angry whites. Later, Celie is able to forge a strong friendship with Albert's mistress Shug (Margaret Avery). Emboldened by this, Celie begins rifling through her husband's belongings and finds Nettie's letters. Able at last to stand up to her husband, Celie leaves him to search for a new life on her own. A major box-office hit, The Color Purple was nominated for eleven Oscars. The film was co-produced by Quincy Jones, who also wrote the score.",PG-13,Drama,Steven Spielberg,Menno Meyjes,1985-12-16,2003-02-18,154,Drama,
780,1008,"After her sister becomes a heroin addict, a nurse (Pam Grier) takes gun in hand and goes undercover to track down the dealers responsible for her sister's condition.",R,Action and Adventure|Classics,Jack Hill,Jack Hill,1973-06-13,2001-12-26,91,Action and Adventure,Classics
782,1011,"In Final Destination 5, Death is just as omnipresent as ever, and is unleashed after one man's premonition saves a group of coworkers from a terrifying suspension bridge collapse. But this group of unsuspecting souls was never supposed to survive, and, in a terrifying race against time, the ill-fated group frantically tries to discover a way to escape Death's sinister agenda. -- (C) Warner Bros",R,Horror,Steven Quale,Eric Heisserer,2011-08-12,2011-12-27,92,Horror,
784,1014,"When a young American travels to the city of Verona, home of the star-crossed lover Juliet Capulet of Romeo and Juliet fame, she joins a group of volunteers who respond to letters to Juliet seeking advice about love. When she answers one letter dated 1957, she inspires its author to travel to Italy in search of her long-lost love and sets off a chain of events that will bring a love into both their lives, unlike anything they ever imagined.",PG,Comedy|Drama|Romance,Gary Winick,Jose Rivera|Tim Sullivan,2010-05-14,2010-09-14,105,Comedy,Drama|Romance
785,1015,"When a sixth grade class gets a malevolent new substitute who aims to train her students for an upcoming international competition in Paris, the suspicious students attempt to uncover the truth about their strange new substitute. The parents all seem to love the newly arrived educator, but the students know better. No only does this strange new arrival have a sadistic streak a mile wide, but she also seems to possess telekinetic powers in addition to having the ability to read minds. Paprika Steen stars in a sci-fi flavored thriller directed by Ole Bornedal (Nightwatch).",R,Horror|Kids and Family|Mystery and Suspense|Science Fiction and Fantasy,Ole Bornedal,Ole Bornedal|Henrik Prip,2007-02-12,2008-10-14,93,Horror,Kids and Family|Mystery and Suspense|Science Fiction and Fantasy
786,1016,"Incident at Loch Ness director Zak Penn takes the helm for this mockumentary that finds film and television star Woody Harrelson entering the Grand Championship of Poker in hopes of saving his late grandfather's popular hotel casino from a scheming real estate developer. As the wrecking ball swings ever closer, Harrelson continually ups the ante in order to take home the top prize at the world's most prestigious poker tournament. Co-stars Ray Romano, Werner Herzog, Cheryl Hines, David Cross, and Dennis Farina all put on their best poker face for a comedy where all bets are off and anything can happen.",R,Comedy,Zak Penn,Matt Bierman|Zak Penn,2008-01-11,2008-06-10,104,Comedy,
787,1017,"David Fincher's The Curious Case of Benjamin Button, an adaptation of F. Scott Fitzgerald's story, re-teams the director with Brad Pitt, who takes on the title role. What makes Button such a curious case is that when he is born in New Orleans just after World War I, he is already in his eighties, and proceeds to live his life aging in reverse. This sweeping film follows the character's unusual life into the 21st century as he experiences joy and sadness, loves lost and found, and the meaning of timelessness. Cate Blanchett co-stars along with Tilda Swinton, Elias Koteas, and Julia Ormond.",PG-13,Drama|Science Fiction and Fantasy|Romance,David Fincher,Eric Roth|Robin Swicord,2008-12-25,2009-05-05,166,Drama,Science Fiction and Fantasy|Romance
788,1020,"The title character of the Russian Little Vera is a headstrong teenage girl, played by Natalya Negoda. To the dismay of her parents, Vera lives only for the moment, making no provision for her future. She'd rather hang out at local cafes in garish makeup and provocative clothing. A chance meeting with handsome student Sergei (Andrei Sokolov) develops into a sexual relationship. Her parents send out Vera's brother (Alexander Alexeyev-Negreba) to talk some sense into her, which proves to be doubly dicey when it turns out that the brother is an old acquaintance of the rebellious Sergei. Vera lies, saying that she's gotten pregnant by Sergei, so he obligingly marries her and moves in with her family, which serves only to make matters worse, as Vera's drunken father (Yuri Nazarov) ends up stabbing his son-in-law. Persuaded to lie about the incident to keep her father out of jail, Vera takes her family's side. A last-minute tragedy is barely averted, but the audience gets the distinct feeling that Vera's problems with her family in particular and her life in general are far from over.",NR,Art House and International|Drama|Romance,Vasili Pichul,Mariya Khmelik,1989-04-14,2000-08-28,130,Art House and International,Drama|Romance
790,1022,"In this animated futuristic tale, a pair of twins must fight for domination of what is left of the world, the good man using the powers of magic in an attempt to save the Earth, and the evil twin taking advantage of the horrors of technology that again threaten to destroy everything.",PG,Action and Adventure|Animation|Kids and Family|Science Fiction and Fantasy,Ralph Bakshi,Ralph Bakshi,1977-02-09,2004-05-25,80,Action and Adventure,Animation|Kids and Family|Science Fiction and Fantasy
791,1023,"Lorraine Gary stars as Ellen Brody, the widow of the police chief played by Roy Scheider in the first two films. She is now convinced that the shark has targeted her family for death.",PG-13,Action and Adventure|Horror|Mystery and Suspense,Joseph Sargent,Michael De Guzman,1987-01-01,1999-01-15,89,Action and Adventure,Horror|Mystery and Suspense
793,1025,A nightclub performer hires a naive chorus girl to become his new dance partner to make his former partner jealous and to prove he can make any partner a star.,NR,Classics|Musical and Performing Arts|Romance,Charles Walters,Albert Hackett|Frances Goodrich|Sidney Sheldon|Guy Bolton,1948-07-08,2005-03-15,103,Classics,Musical and Performing Arts|Romance
795,1028,"Brian Henson, the son of Muppet founder Jim Henson, took over directing duties after the untimely death of his father for The Muppet Christmas Carol, a sluggish re-telling of the Charles Dickens tale. Michael Caine, surrounded by legions of fuzzy, felt puppets, plays it straight as the crotchety Ebenezer Scrooge, an old miser who could care less about Christmas and the joy the season brings. Working for the skinflint is his faithful employee Bob Cratchit (Kermit the Frog), who begs Scrooge for a day off for Christmas. Scrooge reluctantly agrees and goes home on Christmas Eve filled with bile at the holiday merrymakers. But then he is visited by the sprits of Christmas Past, Present, and Future, and Scrooge, after revisiting his sorrowful past, hate-filled present, and doomed future, turns over a new leaf and becomes the most generous and celebratory person in town.",G,Kids and Family|Science Fiction and Fantasy,Brian Henson,Jerry Juhl,1992-01-01,2002-10-08,120,Kids and Family,Science Fiction and Fantasy
797,1030,"Marred by controversy at the time of its release, this horror fantasy from Italy's legendary horror director Mario Bava centers on the twisted desires of a nobleman's son (Christopher Lee). Lee is ostracized by his father for his dalliances with a servant girl (who later commits suicide), but is allowed to return to the fold by his brother, whose lovely wife (Dahlia Lavi) immediately becomes the object of Lee's mad lust. Lee is later found murdered, along with several other victims from the surrounding village, leading superstitious locals to believe that Lee's evil spirit has returned to destroy them; the twist ending reveals the real evil at work. The kinky, sadomasochistic relationship between Lee and Lavi raised more than a few censors' eyebrows, leading to some harsh cuts.",NR,Art House and International|Drama|Horror,Mario Bava,Ernesto Gastaldi|Ugo Guerra|Luciano Martini|Luciano Martino,1963-08-29,2005-03-08,90,Art House and International,Drama|Horror
799,1033,"Faye Dunaway stars in Michael Winner's labored re-make of the 1945 swashbuckler, which was co-scripted by Leslie Arliss, the original director of the 1945 film. Dunaway is Lady Barbara Skelton, a lady of the royal class, who becomes a highway robber, taking up with Captain Jerry Jackson (Alan Bates), a highwayman and her lover. Because of a notorious whiping scene in which Lady Barbara and Jackson's girlfriend (Marina Sirtis) take horsewhips to one another, tearing their clothing to strategically-placed ribbons, the film was held back from release because Winner refused to cut the salacious footage. After corralling author Kingsley Amis, and directors John Schlesinger, Karel Reisz, and Lindsay Anderson to attest to the redeeming social value of the scene, the scene stayed in the film.",R,Action and Adventure|Drama|Mystery and Suspense,Michael Winner,Leslie Arliss|Michael Winner,1983-10-28,2015-04-20,99,Action and Adventure,Drama|Mystery and Suspense
801,1035,"An FBI agent stationed in Cleveland is assigned to investigate a case in Utah where a serial killer is molesting and murdering children. The agent discovers ties between the murders and a bearded, crazed religious fanatic who believes himself to be Noah and who is building a huge ark in a cave.",R,Action and Adventure|Mystery and Suspense,James Glickenhaus,James Glickenhaus,1993-12-02,2004-06-01,104,Action and Adventure,Mystery and Suspense
802,1036,"With THE FITZGERALD FAMILY CHRISTMAS, Burns returns to the working-class, Irish-American roots of THE BROTHERS MCMULLEN. Reuniting with McMullen co-stars Connie Britton (""Friday Night Lights"", ""Nashville""), and Michael McGlone, along with Noah Emmerich (LITTLE CHILDREN, BEAUTIFUL GIRLS), Kerry Bish",PG-13,Drama,Edward Burns,Edward Burns,2012-12-07,2013-11-05,99,Drama,
804,1038,"Two New Yorkers fight the battle of the sexes to a standstill (without entirely realizing it) in this romantic comedy. Andie (Kate Hudson) is a young journalist who longs to cover political stories, but in the meantime she finds herself writing for a women's magazine called Composure, where her editor Lana Jong (Bebe Neuwirth) has her writing a fluffy advice column. After hearing of the latest dating laments of her relationship-challenged friend Michelle (Kathryn Hahn), Andie sells Lana on the idea of writing a piece on the things women do to alienate the men they love, which she'll demonstrate by winning and then driving away a man in a mere ten days. Meanwhile, Ben (Matthew McConaughey) is an advertising man who wants to land a prestige diamond account at his firm. Ben is competing with his pals, Spears (Michael Michele) and Green (Shalom Harlow), for the assignment, so Ben tells his boss Phillip Warren (Robert Klein) that he's the man for the job because he understands the fair sex so well he can make any woman fall for him in less than two weeks. As fate would have it, Andie and Ben end up choosing one another for their mutual assignments, with neither knowing about each other's secret agenda as Ben strives to hold on to Andie while she does everything in her power to annoy him. How to Lose a Guy in 10 Days was loosely based on the self-help book of the same name (subtitled The Universal Don't of Dating) written by Michele Alexander and Jeannie Long.",PG-13,Comedy|Drama|Romance,Donald Petrie,Burr Steers|Brian Regan|Kristen Buckley,2003-02-07,2003-07-01,115,Comedy,Drama|Romance
805,1042,"Robert Bresson's acclaimed Au Hasard, Balthazar presents an unfettered view of human cruelty, suffering and injustice, filtered through the eyes of a donkey over the course of his long life. The burro at the film's center begins life peacefully and happily, as the unnamed play-object of some innocent children in bucolic France, but his circumstances change dramatically when he becomes the property of a young woman named Marie - who christens him Balthazar. As she grows up and encounters tragedy and heartbreak, so does Balthazar; he passes from owner to owner, who treat him in a variety of ways, from compassionately to cruelly. The donkey, of course, lacks the capacity to comprehend the motivations of each individual but accepts whatever treatment (and role) is handed him, nobly and admirably. Bresson ultimately uses the story as a heart-rending allegorical commentary on human spiritual transcendence.",NR,Art House and International|Drama,Robert Bresson,Robert Bresson,1966-05-25,2005-06-14,95,Art House and International,Drama
807,1044,"The year is 1965, and Edie Sedgwick is living every young girl's dream. Edie's life changes forever when she meets Andy Warhol, New York's most famous artist, and the man who will transform this trust fund baby into the Big Apple's most dazzling Superstar. At the center of this exciting and decadent new world is The Factory, Warhol's downtown loft, a place where musicians, artists, actors and all types of misfits gather to create art and movies during the day, and to throw fabulous parties at night. It is here that Edie takes her place at Andy's side as the Factory's most alluring and irresistible Superstar. Edie has the world at her feet. Every woman wants to be her. Every man wants to be with her. But unable to find the love she craves from Andy and The Factory, Edie turns to the ""voice of a generation"" singer-songwriter Danny Quinn, a captivating and talented musician who represents everything that Andy is not - where Andy is all cool surfaces, Danny burns with the fire of his convictions. Danny pushes Edie to free herself from Andy, who has been using her in his movies but never paying her. Edie quickly falls for Danny, but every affair has its price.",R,Drama,George Hickenlooper,Captain Mauzner,2007-02-09,2007-07-17,89,Drama,
811,1048,"In this film, Jerry Mathers stumbles upon Harry's corpse in the woods. Mathers alerts his mother Shirley MacLaine, who recognizes Harry as her ex-husband. Later on, retired sea captain Edmund Gwenn comes across the moribund Harry. Both MacLaine and Gwenn have reason to believe that they're responsible for Harry's demise.",PG,Classics|Comedy|Mystery and Suspense,Alfred Hitchcock,John Michael Hayes|John Hayes,1955-10-03,2001-03-06,100,Classics,Comedy|Mystery and Suspense
813,1050,"In the tradition of Amblin classics where fantastical events occur in the most unexpected places, Jack Black and two-time Academy Award (R) winner Cate Blanchett star in THE HOUSE WITH A CLOCK IN ITS WALLS, from Amblin Entertainment. The magical adventure tells the spine-tingling tale of 10-year-old Lewis (Owen Vaccaro) who goes to live with his uncle in a creaky old house with a mysterious tick-tocking heart. But his new town's sleepy fa",PG,Comedy|Kids and Family|Science Fiction and Fantasy,Eli Roth,Eric Kripke,2018-09-21,2018-11-27,104,Comedy,Kids and Family|Science Fiction and Fantasy
815,1054,"In this offbeat comedy, Mayor Upton (Dave Thomas) of Salem and his cohort Judge Samuel John (Stuart Pankin) set out to burn landowners at the stake as witches to gain their land. Miles (Patrick Cassidy) and Sarah Lee (Kelly Preston) are the young lovers caught up in the hysteria of the trials. Faith (Barbara Carrera) is the real witch who accuses Sarah Lee of being one in order to keep Miles for herself. Parson Babcock (Bud Cort) is the pompous preacher who is stricken blind by the wrangling witch. After a Thanksgiving feast with local Indians, the peace pipe is passed to the strains of The Kingmen's frat-rock anthem Louie, Louie. Dr. Joyce Brothers adds comedy relief with a cameo appearance.",R,Comedy|Drama,John Moffitt,Lanier Laney|Terry Sweeney,1987-01-01,2005-11-15,83,Comedy,Drama
816,1055,"The grim futility of the war between Bosnia and Serbia is reduced to its essence as two enemy soldiers are forced to share a wary trust for one another in this drama. A group of Bosnian soldiers are advancing upon Serbian territory during a misty night when the fog lifts at daybreak, making them plainly visible to their enemy. Serb forces open fire upon them, and soon only Chiki (Brancko Djuric) is still alive, after diving into a trench in no man's land. Two Serbian soldiers scouting the area set up a land mine using the body of a Bosnian soldier as ""bait;"" if moved, the mine will jump into the air and explode. Chiki watches as the soldiers set the trap, and furious at the disrespect to his fallen comrades, he kills one of the Serbs, and takes the other, Nino (Rene Bitorajac), hostage. With both soldiers alone and equally armed, they find themselves at a stalemate, and begin trying to attract help from either side. Eventually, the two men are found by a squadron of French soldiers attached to a U.N. peacekeeping unit; now held by supposedly neutral forces, Chiki and Nino are with the French troops when it's discovered that the dead Bosnian soldier isn't dead after all, though no one is sure how to disarm the mine without killing him in the process. No Man's Land was the debut feature from Bosnian writer and director Danis Tanovic.",R,Art House and International|Drama,Danis Tanovic,Danis Tanovic,2001-12-21,2002-04-09,98,Art House and International,Drama
817,1056,"Tommy Fawkes (Oliver Platt) is a struggling stand-up comedian who has tried for years to get out from under the shadow of his father, George Fawkes (Jerry Lewis), himself a famous humorist. Tommy finally scores a showcase spot at a major resort in Las Vegas, but when opening night rolls around, Tommy's act is an unqualified disaster, with the failure made even more painful by his father's presence in the audience. In search of a fresh start, Tommy heads to Blackpool, England, where he was born and raised, to look for a new act. Hoping to buy material from local performers, Tommy auditions a large number of acts, most of whom are utterly hopeless, until he sees a hilarious vaudeville team, the Parker Brothers. Their act seems more than a bit familiar, however, and Tommy soon realizes that they're doing his father's old material. But they have every right to be doing George's schtick -- it seems George stole his act from the Parkers ages ago. What's more, the younger and more eccentric of the Parker Boys, Jack (Lee Evans), is actually Tommy's half brother, the product of a fling with a Blackpool showgirl years ago. Veering between comedy and drama, Funny Bones has more than its share of effective moments on either side of the fence, and features fine supporting performances from Oliver Reed, Leslie Caron and Harold Nicholas.",R,Comedy|Drama,Peter Chelsom,Peter Chelsom|Peter Flannery,1995-03-31,2003-09-02,126,Comedy,Drama
818,1060,"A conniving nephew (Anthony Geary) wishes to get rid of his elderly uncle (Ralph Bellamy) to collect a large inheritance, so he hires the three worst orderlies he can find (played by the Fat Boys).",PG,Comedy,Michael Schultz,Mitchell Klebanoff|Mark Feldberg,1987-08-14,2005-02-15,86,Comedy,
820,1062,"In this film, Danny is a wickedly charming Irish bellhop who wins the confidence of an elderly invalid. The old woman's niece is not so easily swayed by Danny's blarney, but she finds him strangely attractive, especially when he exhibits a streak of viciousness.",NR,Classics|Drama|Mystery and Suspense,Richard Thorpe,John Van Druten,1937-04-30,1996-06-26,117,Classics,Drama|Mystery and Suspense
824,1067,"CALL ME BY YOUR NAME, the new film by Luca Guadagnino, is a sensual and transcendent tale of first love, based on the acclaimed novel by Andr",R,Drama|Romance,Luca Guadagnino,James Ivory,2018-01-19,2018-03-13,130,Drama,Romance
825,1069,"Ramin Serry explores such issues as global politics, ideological conflict, and puberty in this coming-of-age film about being an Iranian-American teenager during the Islamic Revolution in 1979. Maryam (Mariam Parris) longs to be just a normal New Jersey 16-year-old, but her traditionalist father Darius (Shaun Toub) keeps her on a short rein. Maryam's modest goal is further hampered when her Iranian cousin Ali (David Ackert) comes to stay with them. Though Ali's stridently fundamentalist views represent all that Maryam has come to resent, the two gradually form a friendship of sorts. Meanwhile, Ali's vehement anti-Shah beliefs, coupled with his knowledge of a dark family secret, creates tension between himself and Darius. At the same time, Maryam notices a change in her neighbors' reactions toward her family as the conflict in Iran grows ever more ugly. This film was screened at the 2000 L.A. Independent Film Festival.",NR,Drama,Ramin Serry,Ramin Serry,2002-02-22,2003-08-12,90,Drama,
826,1070,"A teenage girl sets out in search of her missing best friend, a mischief-making flirt who had been recklessly meeting men online, in this thriller featuring Twilight star Anna Kendrick. Sarah (Kendrick) is a straight-A student and popular athlete, and Jillian (Tania Raymonde) is the girl with the reputation that every parent fears most. Yet despite their differences, Sarah and Jillian have been best friends for as far back as either can recall. Both girls long to escape their small town for something more exciting, though it's Jillian who acts first. Shortly after revealing to Sarah that she is searching for a man online to take her someplace new and exciting, Jillian vanishes without a trace. The only clues that Sarah has to her old friend's whereabouts are a journal, and a cryptic video message sent by Jillian just before she disappeared. Frustrated that the people in town would rather just pretend that Jillian never existed, Sarah enlists the aid of local computer whiz (who harbors a secret crush on her) to trace the origins of the mysterious message and unlock the mystery of her best friend's disappearance.",R,Drama|Mystery and Suspense,Nathan Hope,Nathan Hope,2009-01-15,2009-06-02,106,Drama,Mystery and Suspense
827,1071,"This depiction of the last 12 hours in the life of Jesus opens with his betrayal by Judas, his condemnation by the Pharisees and his appearance before Pontius Pilate. Pilate defers to King Herod, but Herod returns Jesus. Pilate then asks the crowd to choose between Jesus and Barrabas. The crowd chooses Barrabas. Pilate washes his hands of the matter, and Jesus is forced to carry the cross through the streets to Golgotha where Roman soldiers crucify him. Although Jesus briefly fears that God, his Father, has abandoned him, he regains his faith, proclaiming ""Into Thy hands I command my spirit."" At the moment of his death, nature itself over-turns.",R,Drama,Mel Gibson,Mel Gibson|Benedict Fitzgerald,2004-02-25,2004-08-31,127,Drama,
830,1075,"Just a few years after Psycho made him an internationally known actor, Anthony Perkins starred with Sophia Loren in this suspense drama about a mismatched husband and wife, Bob and Lisa. When they first met in Italy, Lisa was an impoverished young woman and Bob was an American GI who looked like he was going somewhere. Now that the couple has settled down in Paris, Lisa has a steady job but Bob cannot seem to last very long in any employment whatsoever. Just as Lisa bids him good-bye at the airport, on his way to yet another job possibility, she lets him know that she is leaving him. Well, the plane crashes and Bob manages to get away intact without anyone knowing it. He shows up back home and convinces Lisa to collect on his life insurance -- and that is when everything starts to go downhill on a bobsled.",NR,Art House and International|Classics|Drama,Anatole Litvak,Peter Viertel|Hugh Wheeler,1962-12-12,2016-07-26,110,Art House and International,Classics|Drama
832,1077,"Steven Spielberg's phenomenally successful sci-fi adventure thriller is graced by state-of-the-art special effects from the team of Stan Winston, Phil Tippett and Michael Lantieri from George Lucas's Industrial Light &amp; Magic. The film follows two dinosaur experts -- Dr. Alan Grant (Sam Neill) and Dr. Ellie Sattler Laura Dern) -- as they are invited by eccentric millionaire John Hammond (Richard Attenborough) to preview his new amusement park on an island off Costa Rica. By cloning DNA harvested from pre-historic insects, Hammond has been able to create living dinosaurs for his new Jurassic Park, an immense animal preserve housing real brachiosaurs, dilophosaurs, triceratops, velociraptors, and a Tyrannosaur Rex. Accompanied by cynical scientist Ian Malcolm (Jeff Goldblum), who is obsessed with chaos theory, and Hammond's two grandchildren (Ariana Richards and Joseph Mazzello), they are sent on a tour through Hammond's new resort in computer controlled touring cars. But as a tropical storm hits the island, knocking out the power supply, and an unscrupulous employee (Wayne Knight) sabotages the system so that he can smuggle dinosaur embryos out of the park, the dinosaurs start to rage out of control. Grant then has to bring Hammond's grandchildren back to safety as the group is pursued by the gigantic man-eating beasts.",PG-13,Action and Adventure|Mystery and Suspense|Science Fiction and Fantasy,Steven Spielberg,Michael Crichton|David Koepp|Malia Scotch Marmo,1993-06-11,2000-10-10,126,Action and Adventure,Mystery and Suspense|Science Fiction and Fantasy
833,1078,"Directed by future Fugitive helmsman Andrew Davis, Above the Law is one of a handful of Steven Seagal films with an appeal extending beyond Seagal's hardcore fans. Making his feature film debut, the star plays a Vietnam vet-turned-Chicago cop (what a parlay",R,Action and Adventure|Mystery and Suspense,Andrew Davis,Steven Pressfield|Ronald Shusett|Andrew Davis|Steve Pressfield|Steven Seagal|John Eskow,1988-01-01,2007-05-29,99,Action and Adventure,Mystery and Suspense
834,1079,Greg Marcks' 11:14 intertwines five different storylines that all lead up to a series of events that happen one evening at 11:14. The audience is made privy to connections between the characters that they themselves are unaware of. The audience will see how various lies and deceptions lead to murder.,R,Comedy|Drama|Mystery and Suspense,Greg Marcks,Greg Marcks,2003-10-15,2005-10-11,86,Comedy,Drama|Mystery and Suspense
835,1080,"After being denied a promotion at the university where she teaches, Doctor Lily Penleric, a brilliant musicologist, impulsively visits her sister, who runs a struggling rural school in Appalachia. There she stumbles upon the discovery of her life -- a treasure trove of ancient Scots-Irish ballads, songs that have been handed down from generation to generation, preserved intact by the seclusion of the mountains. With the goal of securing her promotion, Lily ventures into the most isolated areas of the mountains to collect the songs and finds herself increasingly enchanted -- not only by the rugged purity of the music, but also by the raw courage and endurance of the local people as they carve out meaningful lives against the harshest conditions. It is not, however, until she meets Tom -- a handsome, hardened war veteran and talented musician -- that she's forced to examine her motivations. Is the ""Songcatcher,"" as Tom insists, no better than the men who exploit the people and extort their land?",PG-13,Drama|Musical and Performing Arts|Romance,Maggie Greenwald,Maggie Greenwald,2001-06-29,2001-10-23,112,Drama,Musical and Performing Arts|Romance
837,1082,"There's a few million dollars' worth of star power and a nickel's worth of plot in the lavish race-car melodrama Grand Prix. Among the participants in this annual cross-continent competition are characters played by James Garner, Yves Montand, Brian Bedford, and Antonio Sabato. Interested parties include Toshiro Mifune (his voice dubbed by Paul Frees), Adolfo Celi, and Claude Dauphin, while the women who agonize on the sidelines include Eva Marie Saint, Jessica Walter, and Fran",PG,Classics|Drama,John Frankenheimer,Robert Alan Aurthur|William Hanley,1966-12-21,2006-07-11,167,Classics,Drama
838,1083,"Hollywood 1927. George Valentin (Jean Dujardin) is a silent movie superstar. The advent of the talkies will sound the death knell for his career and see him fall into oblivion. For young extra Peppy Miller (Berenice Bejo), it seems the sky's the limit - major movie stardom awaits. The Artist tells the story of their interlinked destinies. -- (C) Weinstein",PG-13,Comedy|Drama|Romance,Michel Hazanavicius,Michel Hazanavicius,2011-11-25,2012-06-26,100,Comedy,Drama|Romance
839,1084,"Shy, sensitive April (Emma Roberts) is the class virgin -a popular soccer player and frequent babysitter for her single-dad coach, Mr. B. (James Franco). Teddy (Jack Kilmer) is an introspective artist whose best friend and sidekick Fred (Nat Wolff) is an unpredictable live wire with few filters or boundaries. While April negotiates a dangerous affair with Mr. B., and Teddy performs community service for a DUI - secretly carrying a torch for April, who may or may not share his affection - Fred seduces Emily (Zoe Levin), a promiscuous loner who seeks validation through sexual encounters. One high school party bleeds into another as April and Teddy finally acknowledge their mutual affection, and Fred's escalating recklessness spirals into chaos. (C) Tribeca",R,Drama,Gia Coppola,Gia Coppola,2014-05-09,2014-09-09,100,Drama,
840,1085,"Set in a forlorn mining town in the north of France, the story is about one man's struggle to bring life to his once-prosperous village. Daniel teaches at a nursery school in a town demoralized by unemployment and is determined against all odds to bring life to the community.",NR,Art House and International|Drama,Bertrand Tavernier,Bertrand Tavernier|Dominique Sampiero|Tiffany Tavernier,1999-03-12,2002-11-26,118,Art House and International,Drama
842,1089,"Writer/director Gus Van Sant's early bid for big-time commercial success -- a success he didn't manage to achieve until Good Will Hunting -- is based on Tom Robbins' 1976 feminist bestseller. Uma Thurman plays Sissy Hankshaw, a woman born with very large thumbs. After her parents (Grace Zabriskie and Ken Kesey) take her to a doctor (Buck Henry), who offers her parents no remedy for their daughter's condition, the film races ahead to the 1970s. Sissy is now a popular feminine hygiene spray model for a product called Yoni Yum, the product of a company owned by The Countess (John Hurt in drag). Sissy travels to the Rubber Rose beauty ranch, also owned by The Countess, to shoot a Yoni Yum commercial. At the ranch, she makes the acquaintance of the inscrutable Chink (Pat Morita) and Bonanza Jellybean (Rain Phoenix). But under the nose of The Countess, the cowgirls on the ranch are talking mutiny, with the women trying to liberate the Rubber Rose Ranch from the chains of patriarchal oppression.",R,Comedy|Drama|Science Fiction and Fantasy,Gus Van Sant,Gus Van Sant,1994-05-20,2004-11-02,100,Comedy,Drama|Science Fiction and Fantasy
844,1091,"For thirteen extraordinary days in October of 1962, the world stood on the brink of an unthinkable catastrophe. Across the globe, people anxiously awaited the outcome of a harrowing political, diplomatic and military confrontation that threatened to end in an apocalyptic nuclear exchange between the United States and the Soviet Union. The alarming escalation of events during those fateful days brought to the fore such public figures as Robert McNamara, Adlai Stevenson, Theodore Sorenson, Andrei Gromyko, Anatoly Dobrynin, McGeorge Bundy, Dean Acheson, Dean Rusk, and General Curtis LeMay. In addition many others -- politicians, diplomats and soldiers -- were on the front line of the showdown. In Thirteen Days, we see all of these people, -- and, above all -- President John F. Kennedy and his brother Bobby, through the eyes of a trusted presidential aide and confidante, Kenneth P. O'Donnell.",PG-13,Drama,Roger Donaldson,David Self,2000-12-25,2001-07-10,145,Drama,
845,1092,"A proud military man, Colonel Claus von Stauffenberg is a loyal officer who serves his country all the while hoping that someone will find a way to stop Hitler before Europe and Germany are destroyed. Realizing that time is running out, he decides that he must take action himself and joins the German resistance. Armed with a cunning strategy to use Hitler's own emergency plan--known as Operation Valkyrie--these men plot to assassinate the dictator and over-throw his Nazi government from the inside. With everything in place, with the future of the world, the fate of millions and the lives of his wife and children hanging in the balance, Stauffenberg is thrust from being one of many who oppose Hitler to the one who must kill Hitler himself.",PG-13,Drama|Mystery and Suspense,Bryan Singer,Christopher McQuarrie|Nathan Alexander,2008-12-25,2009-05-19,120,Drama,Mystery and Suspense
846,1093,"Tennessee Williams' 27 Wagons Full of Cotton was the basis for this steamy sex seriocomedy. Karl Malden stars as the doltish owner of a Southern cotton gin. He is married to luscious teenager Carroll Baker, who steadfastly refuses to sleep with her husband until she reaches the age of 20. Her nickname is ""Baby Doll"", a cognomen she does her best to live up to by lying in a crib-like bed and sucking her thumb. Enter crafty Sicilian Eli Wallach (who, like supporting actor Rip Torn, makes his film debut herein), who covets both Malden's wife and business. Malden's jealously sets fire to Wallach's business, compelling Wallach to try to claim Baby Doll as ""compensation."" Heavily admonished for its supposed filthiness in 1956 (it was condemned by the Legion of Decency, which did more harm to the Legion than to the film), Baby Doll seems a model of decorum today--so much so that it is regularly shown on the straight-laced American Movie Classics cable service.",R,Classics|Comedy,Elia Kazan,Tennessee Williams,1956-12-18,2003-07-09,114,Classics,Comedy
848,1095,"Kevin Smith's follow-up to his unexpected hit Clerks details the pointless story of T.S. (Jeremy London) and Brodie (Jason Lee), two suburban New Jersey slackers who decide to head to the mall in search of solace after being dumped by their girlfriends (Shannon Doherty and Claire Forlani, respectively). There the two young men machinate to appear on a game show being staged and also manage to meet comic-book magnate Stan Lee. However, complications arise when the girls show up.",R,Comedy,Kevin Smith,Kevin Smith,1995-10-20,2000-07-18,95,Comedy,
